#          k           1          b1       b1*b1
  0.00766643     4596.73     14410.6    -3.30109
   0.0160832     5473.34     17159.7    -23.2349
   0.0257545     4556.27     14288.5    -33.4541
   0.0356934     3358.33     10538.3    -16.3013
    0.045512     2610.53     8198.12     2.40162
   0.0552959     2233.55     7018.54    0.859611
   0.0652349      1962.1     6169.17    -10.6015
   0.0751562     1651.81     5198.35    -4.54983
   0.0852165     1327.45     4183.27     24.1805
   0.0952608     1081.88     3413.73     49.2811
    0.105196     937.979     2961.25     48.4676
    0.115136     851.576     2688.29     26.7642
    0.125083     772.525     2438.88     8.27627
    0.135091     680.551     2149.93     11.4327
    0.145084      589.37     1863.85     29.6327
    0.155103     516.597     1634.97     42.3365
    0.165131     465.523     1473.41     38.2391
    0.175113     427.434     1352.34     23.3842
    0.185114     392.387     1241.21     11.7789
    0.195094      356.93     1129.44      12.114
    0.205064     323.475     1024.25     19.8656
    0.215101     294.589     933.231     25.6331
    0.225118     270.821     857.975     24.4296
    0.235075      250.72     794.096     18.3387
    0.245071     232.438     736.055     12.8844
    0.255076     215.411     682.209     11.5433
    0.265072     199.813     633.015      13.449
    0.275063     185.839     588.917     15.3702
    0.285057     173.375     549.461     15.1646
    0.295074     162.082     513.628     13.2051
    0.305081     151.763      480.88     11.0845
    0.315064     142.323     450.976     10.0137
    0.325061     133.686     423.663      9.9822
    0.335065     125.797     398.717     10.1877
    0.345049     118.568     375.833     10.0045
    0.355053     111.872     354.609     9.33078
    0.365063     105.661     334.916     8.51884
    0.375053      99.919     316.717     7.89175
    0.385034     94.6062     299.889     7.47453
    0.395032     89.6662     284.247     7.16682
     0.40504     85.0499     269.627     6.80092
    0.415047     80.7186     255.902     6.32873
    0.425058     76.6419     242.985     5.82362
    0.435043     72.8069     230.832     5.32622
    0.445037     69.1847     219.361     4.89214
    0.455044     65.7588     208.514     4.52827
    0.465038      62.519     198.259     4.22079
    0.475048     59.4489     188.548     4.00875
    0.485041     56.5355     179.331     3.83428
    0.495024     53.7729     170.596     3.73158
