#          k           1          b1       b1*b1
  0.00766643     1836.55    -5.93985  -0.0579528
   0.0160832      2181.3    -26.6247   -0.435416
   0.0257545     1808.51    -43.2159    0.146454
   0.0356934     1326.87    -40.9161     1.50747
    0.045512     1027.02    -33.3578     2.53481
   0.0552959     874.983    -32.8379     2.80344
   0.0652349     765.361    -34.4414     2.90738
   0.0751562     642.692    -25.4016     3.44854
   0.0852165       516.9    -5.07639     4.22214
   0.0952608     422.247     11.7288     4.57568
    0.105196     365.754     14.0391     4.38567
    0.115136     330.446     5.57139      4.0516
    0.125083      298.63   -0.996123     3.84597
    0.135091     263.693     3.09345      3.5777
    0.145084     230.205     13.7862     3.09384
    0.155103     203.196     20.8052      2.6692
    0.165131     183.092     19.1379     2.65326
    0.175113     167.176     12.3284     3.00087
    0.185114     152.814      7.2908     3.22078
    0.195094     139.325     7.87202     2.79798
    0.205064     127.159     11.6756     1.96296
    0.215101       116.5      14.325     1.35059
    0.225118     107.206     13.7179     1.35739
    0.235075     98.9409     10.9797     1.82268
    0.245071      91.465     8.58881     2.18151
    0.255076      84.809     7.96894     2.02802
    0.265072     78.9368     8.66002     1.46708
    0.275063      73.671     9.31066    0.967454
    0.285057     68.8149     9.10079    0.862612
    0.295074     64.2897     8.22686     1.08241
    0.305081     60.1388     7.31872     1.32377
    0.315064     56.4044     6.80577     1.33313
    0.325061     53.0466     6.65865     1.12006
    0.335065     49.9841     6.57939    0.862641
    0.345049     47.1504     6.37162    0.735757
    0.355053     44.4958     6.02125    0.766652
    0.365063     42.0241     5.64334     0.84474
    0.375053     39.7477     5.33119    0.870968
    0.385034     37.6453     5.07014    0.809622
    0.395032     35.6907     4.83294    0.709789
     0.40504     33.8572     4.57878    0.631352
    0.415047     32.1297     4.30407    0.598956
    0.425058     30.5052     4.04567    0.611864
    0.435043     28.9768     3.79768    0.620226
    0.445037     27.5367        3.58    0.622451
    0.455044      26.179     3.39392    0.614869
    0.465038     24.8974     3.22964     0.59352
    0.475048     23.6913     3.11807    0.580994
    0.485041     22.5472     3.01547    0.553428
    0.495024     21.4684     2.95304    0.536435
