#          k1           k2           k3            1           b1           b2           b4          b11        b8*b8
         0.09        0.045        0.045  2.89064e+08  1.72043e+09  3.13682e+09  3.55806e+09  3.04854e+07       164971
         0.09        0.065        0.025 -2.54268e+08  1.51233e+09  3.70325e+09  4.26605e+09  3.51873e+07       164971
         0.09        0.065        0.045  5.33784e+08  1.15328e+09  2.46654e+09  2.82651e+09  2.71197e+07       164971
         0.09        0.085        0.005 -3.10604e+09  1.12776e+09  2.30271e+09  2.65398e+09  2.77564e+07       164971
         0.09        0.085        0.025 -6.71534e+07  1.18771e+09  2.79143e+09  3.22946e+09  3.18759e+07       164971
         0.09        0.085        0.045   3.7849e+08  8.11886e+08   1.8374e+09  2.11583e+09  2.38447e+07       164971
         0.09        0.085        0.065  4.96401e+08  6.76832e+08  1.41747e+09  1.63939e+09  2.04101e+07       164971
         0.09        0.085        0.085  4.87131e+08  5.19496e+08  1.01413e+09  1.18306e+09    1.712e+07       164971
         0.09        0.105        0.015 -1.17245e+09  1.06581e+09  2.83799e+09  3.30276e+09  3.45945e+07       164971
         0.09        0.105        0.035  9.62373e+07  7.96361e+08  1.89662e+09  2.18936e+09   2.5473e+07       164971
         0.09        0.105        0.055  3.15059e+08  6.16826e+08  1.40817e+09  1.62377e+09  2.08572e+07       164971
         0.09        0.105        0.075  3.75215e+08  5.04958e+08  1.02263e+09  1.18145e+09   1.7244e+07       164971
         0.09        0.105        0.095  3.73318e+08  4.00343e+08  7.82728e+08   9.1297e+08  1.50501e+07       164971
         0.09        0.125        0.035 -1.26121e+08  7.02374e+08  1.66762e+09  1.92621e+09  2.44561e+07       164971
         0.09        0.125        0.055  1.62905e+08  5.45459e+08  1.23197e+09  1.41828e+09  1.98265e+07       164971
         0.09        0.125        0.075  2.60344e+08  4.48526e+08  8.91914e+08  1.02576e+09  1.62411e+07       164971
         0.09        0.125        0.095  2.81882e+08  3.51904e+08  6.74158e+08   7.8089e+08  1.40083e+07       164971
         0.09        0.125        0.115  2.96461e+08  3.16569e+08   5.6727e+08  6.62904e+08  1.29326e+07       164971
         0.09        0.145        0.055 -8.22812e+06  4.57278e+08  1.08269e+09  1.24714e+09  1.89848e+07       164971
         0.09        0.145        0.075  1.43039e+08  3.89146e+08  7.82101e+08  8.96659e+08  1.54285e+07       164971
         0.09        0.145        0.095  1.91612e+08  3.06212e+08  5.83095e+08  6.71205e+08   1.3149e+07       164971
         0.09        0.145        0.115  2.20306e+08  2.77296e+08  4.87426e+08  5.65695e+08    1.208e+07       164971
         0.09        0.145        0.135  2.20476e+08  2.36818e+08  3.89417e+08  4.55234e+08  1.09589e+07       164971
         0.11        0.055        0.055  1.89484e+08  1.23658e+09  2.27901e+09  2.59008e+09  2.61207e+07       164971
         0.11        0.075        0.035 -5.25915e+07  9.84465e+08  2.26727e+09  2.60629e+09  2.72344e+07       164971
         0.11        0.075        0.055   3.3933e+08  8.01446e+08  1.69155e+09  1.93903e+09  2.25873e+07       164971
         0.11        0.075        0.075  4.63496e+08   6.5474e+08  1.23415e+09  1.41977e+09   1.8965e+07       164971
         0.11        0.095        0.015 -1.19581e+09  1.00005e+09  2.65659e+09  3.09479e+09  3.40097e+07       164971
         0.11        0.095        0.035  5.65381e+07  7.43527e+08  1.77135e+09  2.04662e+09  2.48933e+07       164971
         0.11        0.095        0.055  2.71518e+08  5.72321e+08  1.31319e+09  1.51423e+09  2.02807e+07       164971
         0.11        0.095        0.075  3.31548e+08  4.66261e+08  9.52603e+08  1.09895e+09  1.66791e+07       164971
         0.11        0.095        0.095  3.30468e+08  3.64136e+08   7.2595e+08  8.44844e+08  1.44756e+07       164971
         0.11        0.115        0.005 -3.11351e+09  8.56464e+08  1.64229e+09  1.90537e+09  2.48577e+07       164971
         0.11        0.115        0.025 -2.94307e+08  8.60137e+08  2.00993e+09  2.33667e+09   2.8994e+07       164971
         0.11        0.115        0.045  1.38246e+08  5.52879e+08  1.30531e+09  1.50755e+09   2.0977e+07       164971
         0.11        0.115        0.065  2.47373e+08  4.59512e+08  1.00375e+09  1.15763e+09   1.7592e+07       164971
         0.11        0.115        0.085  2.62925e+08   3.4918e+08  7.08031e+08  8.17249e+08  1.43036e+07       164971
         0.11        0.115        0.105  2.69858e+08   2.9547e+08  5.86378e+08  6.82906e+08  1.30053e+07       164971
         0.11        0.135        0.025 -4.52162e+08  7.09371e+08  1.72124e+09  2.00451e+09  2.79099e+07       164971
         0.11        0.135        0.045  3.32136e+07  4.57119e+08  1.10896e+09  1.28275e+09  1.98867e+07       164971
         0.11        0.135        0.065  1.55454e+08  3.81989e+08  8.49358e+08  9.79988e+08  1.65184e+07       164971
         0.11        0.135        0.085   1.8536e+08  2.89664e+08  5.93113e+08  6.83458e+08  1.32258e+07       164971
         0.11        0.135        0.105  1.98682e+08  2.44252e+08  4.87282e+08  5.65365e+08  1.19144e+07       164971
         0.11        0.135        0.125  2.00262e+08  2.14498e+08  3.93975e+08  4.59563e+08  1.07402e+07       164971
         0.13        0.065        0.065   1.0692e+08  8.61563e+08   1.5517e+09  1.76568e+09  2.17073e+07       164971
         0.13        0.085        0.045          nan          nan          nan          nan          nan       164971
         0.13        0.085        0.065  2.02045e+08  5.34562e+08  1.09724e+09  1.25843e+09   1.8349e+07       164971
         0.13        0.085        0.085  2.69507e+08  4.09003e+08  7.71286e+08  8.85874e+08  1.50312e+07       164971
         0.13        0.105        0.025 -4.45968e+08  7.52815e+08  1.84436e+09  2.14615e+09  2.83897e+07       164971
         0.13        0.105        0.045  6.04266e+07  4.97465e+08  1.19224e+09   1.3774e+09  2.03638e+07       164971
         0.13        0.105        0.065  1.89185e+08  4.17048e+08  9.14833e+08  1.05438e+09  1.69892e+07       164971
         0.13        0.105        0.085  2.16882e+08  3.15281e+08  6.41222e+08  7.38591e+08  1.36951e+07       164971
         0.13        0.105        0.105  2.27045e+08  2.63522e+08  5.27805e+08  6.13198e+08  1.23869e+07       164971
         0.13        0.125        0.005 -2.76324e+09  1.03721e+09  1.28052e+09  1.48907e+09  2.31563e+07       164971
         0.13        0.125        0.025 -3.26159e+08  7.60418e+08  1.57724e+09  1.83634e+09  2.72983e+07       164971
         0.13        0.125        0.045   5.5875e+07  4.43315e+08  1.01351e+09  1.17285e+09  1.92864e+07       164971
         0.13        0.125        0.065  1.50871e+08  3.55502e+08  7.74806e+08    8.944e+08  1.59204e+07       164971
         0.13        0.125        0.085  1.69083e+08  2.62216e+08  5.39625e+08  6.21893e+08  1.26348e+07       164971
         0.13        0.125        0.105  1.76903e+08  2.17037e+08  4.42583e+08  5.13285e+08  1.13261e+07       164971
         0.13        0.125        0.125  1.75407e+08  1.87976e+08  3.56871e+08  4.16162e+08  1.01564e+07       164971
         0.13        0.145        0.015 -1.09515e+09  7.61745e+08  1.59453e+09  1.86552e+09  3.04342e+07       164971
         0.13        0.145        0.035 -1.04022e+08  4.56445e+08  1.04472e+09   1.2143e+09  2.13394e+07       164971
         0.13        0.145        0.055  6.31433e+07  3.18759e+08  7.62248e+08   8.8301e+08  1.67408e+07       164971
         0.13        0.145        0.075  1.17026e+08  2.53107e+08  5.44587e+08  6.28197e+08  1.31946e+07       164971
         0.13        0.145        0.095  1.26663e+08  1.89263e+08  4.03809e+08  4.66453e+08  1.09515e+07       164971
         0.13        0.145        0.115  1.35253e+08  1.68298e+08  3.36739e+08  3.90669e+08    9.899e+06       164971
         0.13        0.145        0.135  1.30406e+08  1.40388e+08  2.66326e+08  3.10557e+08  8.78525e+06       164971
         0.15        0.075        0.075  7.08239e+07  5.52797e+08  9.86404e+08  1.12217e+09  1.73344e+07       164971
         0.15        0.095        0.055 -1.90955e+07  4.10486e+08  1.00946e+09  1.16467e+09  1.85071e+07       164971
         0.15        0.095        0.075  1.28921e+08  3.55924e+08  7.29068e+08  8.35731e+08  1.49582e+07       164971
         0.15        0.095        0.095  1.73562e+08  2.77101e+08  5.42744e+08  6.23526e+08  1.26773e+07       164971
         0.15        0.115        0.035  -1.8664e+08  4.68759e+08  1.18426e+09  1.37599e+09  2.21043e+07       164971
         0.15        0.115        0.055  4.97855e+07  3.56223e+08  8.66655e+08  1.00243e+09   1.7492e+07       164971
         0.15        0.115        0.075  1.29926e+08  2.93179e+08  6.22059e+08  7.15934e+08  1.39454e+07       164971
         0.15        0.115        0.095  1.48165e+08  2.22781e+08  4.62714e+08  5.33124e+08  1.16912e+07       164971
         0.15        0.115        0.115  1.60094e+08  1.97413e+08  3.86385e+08  4.47611e+08  1.06354e+07       164971
         0.15        0.135        0.015 -1.08803e+09  6.85022e+08  1.48775e+09  1.74209e+09  3.00615e+07       164971
         0.15        0.135        0.035 -1.14798e+08   4.1957e+08  9.72856e+08  1.13189e+09  2.09686e+07       164971
         0.15        0.135        0.055  4.94399e+07  2.93495e+08  7.08722e+08  8.21663e+08  1.63713e+07       164971
         0.15        0.135        0.075  1.02603e+08  2.33575e+08  5.05521e+08  5.83345e+08  1.28303e+07       164971
         0.15        0.135        0.095  1.12208e+08  1.73544e+08  3.73776e+08  4.31521e+08  1.05838e+07       164971
         0.15        0.135        0.115  1.20224e+08  1.53646e+08  3.11352e+08  3.60733e+08  9.53468e+06       164971
         0.15        0.135        0.135  1.15629e+08  1.26846e+08  2.45262e+08  2.85562e+08  8.42065e+06       164971
