#          k           1          b1       b1*b1
  0.00766643     1836.55    -5.93984  -0.0579532
   0.0160832      2181.3    -26.6247   -0.435422
   0.0257545     1808.51    -43.2158    0.146465
   0.0356934     1326.87    -40.9163     1.50747
    0.045512     1027.02    -33.3579     2.53482
   0.0552959     874.984    -32.8379     2.80344
   0.0652349      765.36    -34.4411      2.9074
   0.0751562     642.692    -25.4013     3.44855
   0.0852165       516.9    -5.07651     4.22216
   0.0952608     422.247     11.7288     4.57558
    0.105196     365.754      14.039     4.38575
    0.115136     330.446     5.57066      4.0511
    0.125083      298.63   -0.995769     3.84608
    0.135091     263.693     3.09353     3.57765
    0.145084     230.205     13.7865     3.09363
    0.155103     203.197     20.8061     2.66964
    0.165131     183.092     19.1372     2.65345
    0.175113     167.176     12.3281     3.00087
    0.185114     152.814     7.29084     3.22091
    0.195094     139.325     7.87212     2.79766
    0.205064     127.159     11.6755     1.96265
    0.215101       116.5     14.3248     1.35033
    0.225118     107.206      13.718     1.35732
    0.235075     98.9413     10.9798     1.82267
    0.245071     91.4651     8.58915     2.18153
    0.255076     84.8091     7.96927     2.02801
    0.265072     78.9371     8.66023     1.46714
    0.275063     73.6713     9.31124    0.967324
    0.285057      68.815      9.1009    0.862505
    0.295074     64.2896     8.22683     1.08248
    0.305081     60.1387     7.31825     1.32372
    0.315064     56.4041     6.80536      1.3333
    0.325061     53.0468     6.65908     1.12011
    0.335065     49.9841     6.57966    0.862554
    0.345049     47.1504     6.37162    0.735888
    0.355053     44.4958     6.02154    0.766769
    0.365063     42.0241     5.64324    0.844706
    0.375053     39.7476     5.33099    0.870843
    0.385034     37.6454     5.07031      0.8094
    0.395032     35.6908     4.83304    0.710166
     0.40504     33.8573     4.57908     0.63139
    0.415047     32.1299     4.30449    0.598483
    0.425058     30.5052     4.04565    0.612011
    0.435043     28.9767     3.79762    0.620491
    0.445037     27.5367     3.57963    0.622137
    0.455044     26.1788     3.39301    0.615334
    0.465038     24.8974     3.22984    0.593617
    0.475048     23.6913     3.11801    0.580625
    0.485041      22.547     3.01483    0.553527
    0.495024     21.4687     2.95348    0.536239
